rank,name,review,rated_excellent,rated_very_good,rated_average,rated_poor,rated_terrible,rating,price_range
1,Latest Recipe,790,713,54,5,4,3,5,"₹812 - ₹2,031"
2,Mosaic,"1,257","1,136",75,19,4,5,5,"₹1,000 - ₹1,500"
3,Masala,646,554,57,19,5,5,5,"₹406 - ₹1,625"
4,Zoka,729,639,55,14,4,6,5,"₹750 - ₹15,000"
5,Thai Soul,479,444,27,3,1,3,5,"₹1,100 - ₹1,300"
6,Sky Grill,808,690,82,15,3,2,5,NaN
7,Malabar Cafe,357,328,23,2,4,1,5,"₹950 - ₹1,500"
8,Tharavadu Restaurant by Casino hotel,205,182,20,1,1,1,5,"₹450 - ₹1,000"
9,Colony Clubhouse & Grill,546,513,25,7,1,3,5,"₹4,500 - ₹6,000"
10,Momo Cafe,533,462,50,9,0,6,5,"₹600 - ₹1,200"
11,Cassava,376,329,34,5,2,3,5,"₹500 - ₹3,000"
12,Kochi Kitchen,664,580,61,9,3,7,5,"₹1,000 - ₹2,000"
13,Ciao Cochin,271,229,36,8,0,0,5,"₹650 - ₹2,437"
14,Grand Lounge,77,72,5,0,0,0,5,NaN
15,Rasoi Fort Kochi,352,216,30,9,0,1,5,₹300 - ₹750
16,The Rice Boat,279,201,49,7,3,3,4.5,NaN
17,Lilliput Multi Cuisine Restaurant,499,318,78,20,4,10,4.5,₹150 - ₹300
18,Farmers Cafe,491,315,60,17,6,3,4.5,₹150 - ₹550
19,The Asian Kitchen by Tokyo Bay,414,266,77,17,8,7,4.5,NaN
20,Warehouse Cafe & Restaurant,331,224,37,15,10,8,4.5,"₹250 - ₹1,000"
21,Mary’s Kitchen,431,250,80,17,7,7,4.5,NaN
22,Old Harbour Hotel Restaurant,781,370,175,46,18,19,4.5,NaN
23,Dhe Puttu,749,418,228,70,15,18,4.5,₹150 - ₹250
24,Chilliout Cafe Cherai beach,510,267,102,29,12,11,4.5,₹15 - ₹950
25,Kashi,"1,682",846,492,105,29,25,4.5,NaN
26,Fort House Restaurant,478,230,125,32,12,13,4.5,NaN
27,Oceanos Restaurant,"1,635",749,435,126,36,19,4.5,₹244 - ₹812
28,Fort Kochi Seafood Restaurant,186,100,55,11,6,3,4.5,₹406 - ₹812
29,fusion Bay,"1,175",570,289,84,26,16,4.5,₹70 - ₹450
30,Brindhavan Restaurant,281,127,122,25,1,5,4.5,NaN
31,Tibetan Chefs Restaurant,427,142,127,24,10,9,4.5,NaN
32,Casa Linda,311,169,73,18,7,3,4.5,NaN
33,"Pizzeria ""Pizza Italia""",235,125,40,7,8,3,4.5,NaN
34,Restaurant 51,194,128,39,5,7,3,4.5,"₹800 - ₹1,000"
35,Grand Pavilion,594,245,247,40,20,19,4,NaN
36,Pepper House Cafe,298,143,85,23,5,6,4.5,₹406 - ₹650
37,Punjab House Restaurant,159,84,53,9,2,2,4.5,NaN
38,East Indies,154,99,24,13,2,0,4.5,NaN
39,Paragon Restaurant,863,363,341,95,28,30,4,NaN
40,Malabar Junction,536,211,124,70,37,16,4,"₹500 - ₹1,000"
41,Aroma Lounge & Deli,93,82,6,1,1,0,5,NaN
42,Deli KC,66,58,5,2,0,1,5,NaN
43,Solar Cafe,133,77,31,5,1,0,4.5,₹40 - ₹300
44,Ginger House,434,148,148,49,14,17,4,"₹350 - ₹1,300"
45,Barbeque Nation,170,90,59,15,2,2,4.5,NaN
46,Pai Dosa,333,116,137,65,5,9,4,NaN
47,Sri Krishna Cafe,148,79,39,12,3,0,4.5,NaN
48,Brunton Boatyard,227,114,51,30,5,7,4.5,NaN
49,Hotel Seagull,628,213,225,62,35,48,4,NaN
50,Brindhavan Veg Restaurant,114,55,51,5,0,2,4.5,NaN
51,Mocha Art Cafe,123,86,20,5,3,3,4.5,₹14 - ₹850
52,Loving Earth Yoga Cafe,65,50,8,5,0,0,4.5,NaN
53,Longitude 76,46,42,4,0,0,0,5,NaN
54,Rose Garden Restaurant,256,138,44,9,7,16,4.5,NaN
55,ConneXions Bar,67,53,10,2,0,1,4.5,NaN
56,Cocoa Tree - MG Road Kochi,181,82,74,18,2,5,4,NaN
57,The Burger Junction,97,51,36,8,0,1,4.5,NaN
58,Bubble Cafe,201,88,70,24,11,2,4,NaN
59,Cafe17,77,50,21,3,1,0,4.5,₹150 - ₹250
60,Cafe Crafters,96,41,28,8,0,0,4.5,NaN
61,Kayees Rahmathullah Hotel Restaurant,255,89,102,38,12,9,4,NaN
62,BTH Sarovaram Restaurant,268,77,124,44,9,12,4,₹150 - ₹250
63,Uruli,54,42,7,4,1,0,4.5,NaN
64,Mullapanthal Toddy Shop,167,66,71,21,3,6,4,NaN
65,Master's Art Cafe,59,40,6,2,0,0,5,₹100 - ₹200
66,Sree Krishna Inn,181,58,82,30,4,5,4,NaN
67,Gokul Oottupura,143,38,85,14,2,3,4,NaN
68,Pai Brothers Fast Food,138,52,61,21,0,3,4,NaN
69,Keshia,44,30,10,2,1,0,4.5,"₹13 - ₹1,000"
70,Stadia,36,32,2,1,1,0,5,NaN
71,Hotel Saravana Bhavan Restaurant,108,35,55,14,1,2,4,NaN
72,Taberna,53,47,2,2,1,0,5,"₹1,000 - ₹3,000"
73,Sethi Da Dhaba,131,54,52,13,7,5,4,₹350 - ₹500
74,"The Drawing Room, Kochi",102,51,29,11,2,4,4.5,NaN
75,Bristow's Bistro at The Old Lighthouse Bristow Hotel,135,64,31,19,6,3,4,NaN
76,Lokah Restaurant & Cafe,154,47,76,23,2,4,4,"₹300 - ₹1,000"
77,Vivanta by Taj Restaurant,86,47,26,4,2,2,4.5,NaN
78,Nawras Authentic Seafood Restaurant,168,78,55,13,6,12,4,"₹70 - ₹10,000"
79,Periyar restaurant,65,36,25,2,0,1,4.5,NaN
80,Sardarji Ka Dhaba,132,53,48,20,5,6,4,NaN
81,Bench Restocafe,51,25,13,4,1,1,4.5,NaN
82,Upstairs Italian Restaurant,368,116,88,47,29,31,4,NaN
83,Nasi and Mee,50,27,16,2,2,1,4.5,NaN
84,East India Street Cafe,49,27,12,1,1,1,4.5,"₹200 - ₹2,500"
85,The Eatery,34,25,6,2,1,0,4.5,"₹200 - ₹1,500"
86,Fresh Choice Restaurant,79,43,17,2,4,3,4.5,NaN
87,Aavi restaurant,103,46,36,16,2,3,4,₹50 - ₹500
88,Cheenavala Seafood Restaurant,79,40,24,9,0,6,4,"₹20 - ₹1,000"
89,Punjab Grill Kochi,44,24,14,4,2,0,4.5,"₹1,62,496 - ₹2,03,120"
90,Hotel Anugraha,73,20,40,12,1,0,4,NaN
91,Seafood Harbour,130,49,46,10,2,8,4,"₹200 - ₹1,000"
92,Menorah Restaurant at Koder House,170,44,54,35,10,5,4,"₹812 - ₹1,219"
93,Galito's,58,23,25,5,1,1,4.5,NaN
94,Cafe Bridge Inn,36,28,4,1,1,0,4.5,NaN
95,Chopstix,126,42,54,18,6,5,4,₹300 - ₹500
96,Big Fat Momo,49,31,12,2,1,1,4.5,₹150 - ₹200
97,The Yellow Chilli,64,28,24,7,3,2,4,NaN
98,fish 'n' chips,62,33,16,2,2,0,4.5,NaN
99,Taj Mahal,47,27,8,1,2,0,4.5,NaN
100,Aangan Downtown,43,27,9,3,0,1,4.5,₹90 - ₹900
101,Thakkaram,116,36,50,21,6,3,4,NaN
102,Ali Baba And 41 Dishes,184,34,85,46,7,10,3.5,NaN
103,Kareemsait's Biriyani,18,18,0,0,0,0,5,₹150 - ₹300
104,Saffron,45,25,6,3,1,0,4.5,NaN
105,Shree Ganesha Restaurant,33,20,7,0,1,0,4.5,NaN
106,Spice Root Restaurant,34,16,9,4,0,0,4.5,NaN
107,French Toast,52,29,16,4,1,2,4.5,"₹100 - ₹1,000"
108,Kayees Rahmathulla Cafe,46,24,16,2,0,1,4.5,NaN
109,Little Soi,25,16,8,0,1,0,4.5,₹250 - ₹400
110,Ambiswamy's,41,14,25,1,0,1,4,NaN
111,Tellicherry Kitchen,33,23,4,3,3,0,4.5,₹300 - ₹500
112,Rice N Fish,59,22,30,3,2,2,4,NaN
113,Wok & Grill,61,20,32,4,2,2,4,₹250 - ₹600
114,Jetty at Forte Kochi,33,19,10,0,0,1,4.5,₹350 - ₹750
115,Hotel Lucky Star,35,14,13,0,2,0,4.5,NaN
116,P J Princess Regency,43,21,14,4,1,0,4.5,NaN
117,Mainland China,120,41,51,11,9,7,4,NaN
118,East India Company,73,22,34,15,2,0,4,NaN
119,Tandoor Restaurant,152,40,70,18,6,13,4,₹160 - ₹650
120,MASH Restocafe Panampilly Nagar,44,15,26,1,1,1,4,₹5 - ₹200
121,Nila Restaurant,94,26,42,18,4,3,4,NaN
122,Springs,77,27,33,11,4,1,4,NaN
123,Tissa's Inn Restaurant,35,18,10,0,2,0,4.5,NaN
124,Fort Bridge View Restaurant,44,24,13,1,1,1,4.5,NaN
125,Golden Dragon Restaurant,82,22,38,17,1,3,4,NaN
126,Arippa Restaurant,61,24,26,4,1,5,4,NaN
127,District 7 Restro Cafe - Vyttila Ernakulam,28,13,11,2,0,0,4.5,₹60 - ₹499
128,Pandari's Biriyani,29,13,12,4,0,0,4.5,NaN
129,Ambiswamy's,111,29,41,27,7,7,3.5,NaN
130,Raintree Multi Cuisine Restaurant,112,46,28,9,10,11,4,"₹100 - ₹1,000"
131,Veda Wellness Cafe,21,15,3,1,0,0,5,NaN
132,Pepper,28,13,9,1,0,0,4.5,"₹1,300 - ₹2,600"
133,Slice of Spice,29,19,9,0,0,1,4.5,NaN
134,Tibet Kitchen,36,12,12,4,1,1,4,₹110 - ₹250
135,Ootupura,70,18,38,11,1,2,4,NaN
136,"Kadaloram Restaurant, Abad Plaza",36,9,24,3,0,0,4,NaN
137,Classic Art Cafe,26,16,5,1,2,0,4.5,₹80 - ₹600
138,Uncle's Restaurant,26,14,9,1,0,1,4.5,NaN
139,Palace Food Court,95,34,32,13,3,11,4,NaN
140,Thakkaaram,82,22,39,14,3,4,4,NaN
141,Indian Coffee House,32,6,23,1,0,0,4,NaN
142,Ceylon Bake House,86,12,57,10,2,5,4,NaN
143,No. 18 Hotel Restaurant,31,17,8,0,2,1,4.5,NaN
144,Kaikka's,43,18,21,3,1,0,4.5,NaN
145,Los Angeles Cafe Fort Kochi,13,12,0,0,0,0,5,NaN
146,Ashok Bhavan,37,7,22,8,0,0,4,NaN
147,Couchyn at The Grand,35,12,18,4,1,0,4,NaN
148,Iftar Restaurant,47,15,23,4,2,3,4,NaN
149,Armoury,29,10,11,6,0,0,4,NaN
150,Mezzo,42,15,20,4,0,3,4,NaN
151,Binnammas Food Gallery,19,14,3,1,0,0,4.5,NaN
152,Marina Sea Face Restaurant,14,12,1,0,0,0,5,NaN
153,Rasa,46,15,22,3,4,2,4,NaN
154,Malabar Grill's Restaurant,23,15,3,3,0,0,4.5,"₹200 - ₹1,000"
155,Subway,38,12,18,7,1,0,4,NaN
156,Cafe Canopy,51,9,26,13,1,2,4,NaN
157,ChaiCofi,25,9,13,3,0,0,4,NaN
158,Mustake Multicuisine Restaurant,58,12,29,11,2,3,4,₹200 - ₹350
159,The Soup Shop,23,8,12,2,0,0,4.5,₹120 - ₹200
160,Kerala cafe,52,19,14,9,1,4,4,NaN
161,Arches Restaurant,44,10,16,6,1,4,4,NaN
162,The Burger Junction,20,6,12,2,0,0,4,NaN
163,Kettuvallam Family Restaurant,78,16,31,22,3,5,3.5,NaN
164,Brown's Restaurant,32,14,10,5,1,1,4,"₹100 - ₹1,000"
165,Zaatar Arabic Restaurant,74,24,30,9,2,9,4,"₹3,250 - ₹4,06,240"
166,Sulthan Veedu,19,13,4,0,1,1,4.5,₹175 - ₹250
167,Earth Lounge,166,35,57,42,14,18,3.5,NaN
168,Hotel Apsara,29,12,12,5,0,0,4,NaN
169,Hotel Cochin Fort,184,53,49,22,15,30,3.5,NaN
170,Chiyang. The Chinese Restaurant,102,19,49,18,4,12,3.5,NaN
171,Traditionz,15,8,6,1,0,0,4.5,NaN
172,Little Kochi Kafe,19,13,2,1,1,0,4.5,"₹70 - ₹1,000"
173,Kausthubham,33,6,16,10,1,0,4,"₹6,500 - ₹15,437"
174,Black Pearl Restaurant,22,7,13,2,0,1,4,NaN
175,Elements,29,13,9,5,2,0,4,₹8 - ₹500
176,Hotel and Restaurant Aryaas,28,5,17,5,0,0,4,NaN
177,"Drop Inn, Restaurant",62,19,21,7,2,5,4,"₹325 - ₹2,437"
178,Burger Spot,24,9,10,5,0,0,4,NaN
179,Aryas Vegetarian Restaurant,27,7,13,6,1,0,4,NaN
180,Beach Inn Seafood restaurant,12,10,2,0,0,0,5,NaN
181,Subhiksha,48,7,28,7,1,3,4,NaN
182,Pai Dosa,20,7,9,4,0,0,4,NaN
183,Cafe Cuba,56,16,18,1,1,7,4,NaN
184,Mallus Dhaba,15,7,5,3,0,0,4.5,NaN
185,Peppermint Cafe,21,5,12,2,0,1,4,NaN
186,The Indian Oven,10,7,1,1,0,0,4.5,"₹200 - ₹1,000"
187,Diwans's Durbar,41,8,25,3,3,2,4,NaN
188,Shifu Momos,22,13,7,1,0,1,4.5,NaN
189,The Zen Garden,8,7,0,0,0,0,5,NaN
190,Ming's Wok,66,16,30,12,3,5,3.5,NaN
191,Salt'n'Pepper,48,18,13,3,5,3,4,NaN
192,Chillies Restaurant,48,11,23,7,4,2,4,NaN
193,Hotel Sea Gull,26,12,7,4,0,3,4,NaN
194,Krishna Kripa Seafood Restaurant,53,9,11,7,5,2,3.5,NaN
195,Itty's,39,6,27,4,1,1,4,NaN
196,The History and Terrace Grill,48,18,15,3,4,5,4,NaN
197,Dosa World,19,8,7,4,0,0,4,NaN
198,Ojeen the Taste of Malabar,29,8,13,7,1,0,4,NaN
199,Bharat Hotel,17,5,8,4,0,0,4,NaN
200,Cheenavala,19,5,11,2,1,0,4,NaN
201,Tower House Restaurant,20,5,10,1,0,0,4,NaN
202,David Hall Gallery Cafe,11,6,4,0,0,0,4.5,NaN
203,Cochin Majlis Food Mall,51,12,21,11,3,3,3.5,NaN
204,Pearlspot,12,8,3,1,0,0,4.5,"₹500 - ₹5,000"
205,Lagoona By The DUNES Cochin,15,8,5,2,0,0,4.5,₹10 - ₹500
206,Ginger Gardens,12,6,5,0,0,0,4.5,NaN
207,Cafe Kochi,13,3,7,0,0,0,4.5,₹80 - ₹400
208,Febina Restaurant,22,8,8,2,1,0,4.5,NaN
209,Hotel Shree Aryas Restaurant,25,7,13,3,1,1,4,NaN
210,gokul restaurant,41,9,20,9,2,1,4,NaN
211,The Springs,16,10,4,2,0,0,4.5,NaN
212,The Grill Lab,21,7,10,3,1,0,4,₹6 - ₹500
213,Fennel,17,10,1,3,3,0,4,NaN
214,Burgeria,22,9,7,5,0,1,4,NaN
215,gokul oottupura,52,11,26,8,3,4,3.5,NaN
216,Zamorin,12,7,4,0,0,1,4.5,"₹47 - ₹1,000"
217,Domino's Pizza,32,7,16,5,1,2,4,NaN
218,Blue Waters Resort /Whispering Sands restaurant,39,14,11,7,0,4,4,NaN
219,Hotel Abhirami Restaurant,14,5,9,0,0,0,4.5,NaN
220,Delish - Multicuisine Restaurant,7,7,0,0,0,0,5,₹100 - ₹300
221,Real Arabia,35,12,13,7,2,1,4,NaN
222,Arya Bhavan,20,8,6,6,0,0,4,NaN
223,Kafe D Kochi,10,7,2,0,0,0,4.5,"₹20 - ₹1,500"
224,Chai Nation,22,10,8,3,0,1,4,NaN
225,Little Maxim's,40,16,11,3,2,4,4,NaN
226,Ledhi Art Cafe,12,8,4,0,0,0,4.5,"₹2 - ₹1,000"
227,Hotel and Restaurant Rahmaniya,25,12,7,4,1,1,4,NaN
228,Jeff Biriyani,14,8,2,2,2,0,4,NaN
229,The Killians Boutique Restaurant,59,7,25,10,3,6,3.5,NaN
230,Ceylon Bake House,14,0,12,1,0,0,4,NaN
231,Swamys Brahmins Family Restaurant,13,3,10,0,0,0,4,NaN
232,Kerala Kitchen,24,6,11,6,1,0,4,NaN
233,Hotel Kochin Fort,31,9,11,2,4,2,4,NaN
234,High Bar,14,6,5,2,0,1,4,"₹300 - ₹1,200"
235,Hotel Sree Saravana Bhavan,20,8,8,4,0,0,4,NaN
236,The Clam Multi-Cuisine Restaurant,26,9,11,1,0,3,4,₹50 - ₹50
237,Carnival Court - Kariyad,21,6,11,3,0,1,4,NaN
238,Surya Restaurant,41,6,18,12,0,3,3.5,NaN
239,Hotel Annapoorna,23,11,10,2,0,0,4.5,NaN
240,1947 Indian Restaurant,13,5,6,1,0,1,4,₹20 - ₹250
241,Sree Ganapathy Restaurant,37,9,15,9,2,2,3.5,NaN
242,Leman Cafe & Restaurant,7,4,2,0,0,0,4.5,₹200 - ₹500
243,Hotel Ananda Bhavan Restaurant,17,5,9,3,0,0,4,NaN
244,Palaaram,39,12,17,3,3,4,4,₹180 - ₹400
245,"Aromi Di Italia By Club Mahindra Cherai, Kerala",17,6,6,1,2,0,4,"₹200 - ₹1,500"
246,Hotel Abhirami Restaurant,23,3,12,7,1,0,3.5,NaN
247,Breath Cafe Vegan,7,7,0,0,0,0,5,₹20 - ₹300
248,Timur Kachi Restaurant,10,6,3,1,0,0,4.5,NaN
249,Dolphins Point,21,7,10,0,1,1,4,"₹1,625 - ₹3,250"
250,Anjappar Chettinad Restaurant,71,20,22,13,5,10,3.5,NaN
251,NM Food World Restaurant,23,10,10,3,0,0,4.5,NaN
252,Travancore,13,7,3,1,1,0,4,NaN
253,Cafe Royale - Atrium,15,5,5,2,0,0,4,"₹812 - ₹1,625"
254,Restaurant Lilly Grace,19,5,5,4,0,0,4,"₹250 - ₹1,500"
255,Jardin Secret,29,17,5,0,2,1,4.5,₹100 - ₹400
256,B at Bay by Chef Ramu Butler,6,6,0,0,0,0,5,₹250 - ₹600
257,Arabian Palace,10,5,5,0,0,0,4.5,NaN
258,Lighthouse Lounge,13,6,5,1,0,1,4,NaN
259,Hotel Al-Reem,9,6,2,0,0,0,4.5,NaN
260,Malabar Biriyani House,18,2,13,3,0,0,4,NaN
261,Udupi Ananda Bhavan Restaurant,15,3,8,4,0,0,4,NaN
262,Hotel New Aryas Restaurant,12,5,6,1,0,0,4.5,NaN
263,Golden Dragon,12,3,7,2,0,0,4,NaN
264,Shantilal S mithaiwala,10,4,6,0,0,0,4.5,NaN
265,Pulp Factory,17,3,8,5,0,0,4,NaN
266,Ifthar Hotel,19,6,9,2,1,1,4,NaN
267,Periyar Multicuisine Restaurant,9,5,2,2,0,0,4.5,NaN
268,Thai Pavillion,11,9,1,1,0,0,4.5,"₹1,625 - ₹3,250"
269,Travancore Restaurant,7,5,2,0,0,0,4.5,NaN
270,Chariot Restaurant,31,4,22,1,1,3,3.5,NaN
271,Night Chef,9,2,7,0,0,0,4,NaN
272,Cocoa Tree - Panampily Nagar,22,9,10,0,0,3,4,NaN
273,Vasco Da Gama Resto Bar,6,5,1,0,0,0,5,"₹1,000 - ₹3,000"
274,OIivia Restaurant,8,4,4,0,0,0,4.5,₹150 - ₹700
275,Rajadhani,15,6,6,3,0,0,4,₹162 - ₹162
276,Pizza Hut,38,9,15,8,6,0,3.5,NaN
277,Spice It,7,5,2,0,0,0,4.5,NaN
278,Salkaram Restaurant,7,5,2,0,0,0,4.5,"₹100 - ₹10,000"
279,Cafe du Mahe,20,10,5,0,0,2,4,NaN
280,Caper,5,5,0,0,0,0,5,"₹500 - ₹3,500"
281,Street Menu Restaurant,12,5,5,2,0,0,4.5,NaN
282,Mamma Restaurant,16,4,8,4,0,0,4,NaN
283,Alakapuri Hotel,28,8,10,6,3,1,4,NaN
284,Brindhavan Vegetarian Restaurant,22,8,7,3,1,2,4,NaN
285,Hotel Ashok Bhavan,12,3,8,1,0,0,4,NaN
286,The Voyager,25,8,8,4,4,1,3.5,NaN
287,Kebabistan Restaurant,15,4,8,1,2,0,4,NaN
288,Palaaram A Traditional Eatery,27,8,8,7,3,1,3.5,₹150 - ₹350
289,Shibu's Kumbalam Puttu Kada,11,3,7,1,0,0,4,NaN
290,Hotel Aryaas,8,2,6,0,0,0,4.5,NaN
291,The Hot Spot,28,11,10,3,0,4,4,NaN
292,Shivetanta Kada,5,3,0,0,0,0,5,NaN
293,Cafe de Arabia,18,6,8,3,0,1,4,NaN
294,Hotel Arul Jyothi Restaurant,15,6,6,1,1,0,4.5,NaN
295,Baywatch Family Restaurant,79,14,26,20,6,10,3.5,NaN
296,Mullapanthal Restaurant,26,11,11,2,1,1,4,NaN
297,Royal Food Court,32,7,15,6,3,1,4,NaN
298,WaffleBae,6,5,1,0,0,0,5,₹3 - ₹209
299,Pachamama Artcafe,6,5,1,0,0,0,5,₹100 - ₹250
300,Ratna Vilas,18,7,7,1,1,1,4,NaN
301,Empire Plaza,28,6,11,7,1,3,3.5,NaN
302,Lil' America Cafe & Bistro,6,5,1,0,0,0,5,"₹7,312 - ₹48,749"
303,Porta Rossa,6,5,0,1,0,0,4.5,₹450 - ₹950
304,Rassam,13,6,5,1,1,0,4,NaN
305,Hotel Vasantha Vihar,8,3,5,0,0,0,4.5,NaN
306,Hotel Annapoorna,19,2,11,6,0,0,4,NaN
307,Coq D'or,14,3,11,0,0,0,4,NaN
308,Millenium Continetal,35,8,11,8,5,2,3.5,NaN
309,The Square,5,5,0,0,0,0,5,NaN
310,La Pizza10,4,4,0,0,0,0,5,₹250 - ₹350
311,Sree Krishna Bhavan,11,3,7,0,0,0,4.5,NaN
312,Grill N Chill,6,3,1,1,0,0,4.5,NaN
313,Hotel Aishwarya,9,5,2,2,0,0,4.5,NaN
314,The Big Bang Cafe,5,4,1,0,0,0,5,₹100 - ₹600
315,Olive,20,9,7,0,2,2,4,NaN
316,Burger Bees,10,5,4,1,0,0,4.5,NaN
317,The Mexicana,19,10,4,1,1,3,4,NaN
318,Sardarji Ka Dhaba,10,1,7,2,0,0,4,NaN
319,Gokul Oottupura,16,4,10,1,0,1,4,NaN
320,Rolexio,12,5,5,1,1,0,4,NaN
321,Confiance Bakehouse,6,4,2,0,0,0,4.5,"₹100 - ₹1,000"
322,Canosa,6,2,4,0,0,0,4.5,NaN
323,Cafe Artery,6,3,1,1,0,0,4.5,NaN
324,Hotel Aryaas Park,15,1,11,2,1,0,4,NaN
325,The Cookery,6,4,2,0,0,0,4.5,₹50 - ₹250
326,Cream Stone,8,4,4,0,0,0,4.5,NaN
327,Down Town Restaurant,11,5,3,3,0,0,4,"₹812 - ₹8,125"
328,Burger Spot,22,5,8,5,2,1,3.5,NaN
329,Bolgatty Palace Restaurant,12,3,5,2,1,0,4,NaN
330,Deli at Gateway,30,7,14,5,1,3,3.5,NaN
331,"Open Room, Hotel Arches",10,6,3,0,1,0,4.5,NaN
332,Kadambra Restaurant,21,7,11,0,2,1,4,NaN
333,Mamma Restaurant,9,2,6,1,0,0,4,NaN
334,Kettuvallam Restaurant,8,3,3,2,0,0,4,NaN
335,Arabian Fiesta,17,7,6,2,0,1,4,NaN
336,Oceanview,9,5,2,0,1,0,4.5,NaN
337,Seafood Grill Restaurant,7,6,1,0,0,0,5,NaN
338,The Court House,6,4,1,0,0,0,5,₹25 - ₹250
339,All Spice,5,4,1,0,0,0,5,"₹40,624 - ₹1,62,496"
340,Bread World,16,9,4,1,1,1,4,NaN
341,Hotel Colombo,13,3,4,2,1,0,4,NaN
342,Pavillion,7,4,3,0,0,0,4.5,NaN
343,Fort Inn Restaurant,3,3,0,0,0,0,5,₹100 - ₹200
344,Malabar Plaza,16,4,8,3,0,1,4,NaN
345,Chillax,8,3,4,1,0,0,4.5,NaN
346,Arabella Restaurant at Pgs Vedanta,11,4,5,1,1,0,4,NaN
347,Anandaas,8,4,3,0,0,0,4.5,NaN
348,Eliete Hotel,11,4,4,0,1,0,4.5,NaN
349,Kai-Shek Chinese Restaurant,12,5,2,3,0,1,4,NaN
350,Supreme Upper Crust Kochi,16,4,8,2,0,2,4,₹250 - ₹800
351,Kochi Brasserie,4,4,0,0,0,0,5,₹175 - ₹375
352,Rangoli,23,6,8,5,3,1,3.5,NaN
353,Grande Residencia,15,10,2,1,1,0,4.5,"₹1,625 - ₹8,125"
354,Arctic Hotel - Paprika,3,3,0,0,0,0,5,"₹20,312 - ₹40,624"
355,Hangout De Cafe',8,5,3,0,0,0,4.5,NaN
356,Cinema Cafe,9,3,6,0,0,0,4.5,NaN
357,Sailing Club House,14,9,2,2,0,1,4.5,NaN
358,Hot Spot,11,4,5,1,1,0,4,NaN
359,Regency - Cochin,11,2,7,2,0,0,4,NaN
360,Concert Hot Breads,8,2,5,1,0,0,4,NaN
361,Natural,6,3,3,0,0,0,4.5,NaN
