rank,name,review,rated_excellent,rated_very_good,rated_average,rated_poor,rated_terrible,rating,price_range
362,Lil' America,21,10,5,3,0,3,4,NaN
363,Bab Arabia,13,3,6,1,1,1,4,"₹120 - ₹1,800"
364,Pappadavada,33,8,14,6,0,5,3.5,NaN
365,Mattancherry Bar,7,4,2,0,0,0,4.5,"₹1,300 - ₹2,600"
366,Poovath Restaurant,19,8,6,2,0,2,4,NaN
367,Sanjoe Restaurant,11,4,4,3,0,0,4,NaN
368,Malabar Plaza,9,2,6,1,0,0,4,NaN
369,Uduppi Darini Vegetarian Restaurant,8,1,7,0,0,0,4,NaN
370,District 7,10,5,3,2,0,0,4.5,₹40 - ₹140
371,Grillz Cafe,4,4,0,0,0,0,5,₹30 - ₹800
372,Kaali Meeri,3,3,0,0,0,0,5,"₹200 - ₹1,000"
373,Kaasa kitchen,5,2,2,1,0,0,4,"₹6,500 - ₹18,687"
374,SREE Muruga CAFE,8,3,4,0,1,0,4,NaN
375,Arabian Grill Restaurant,7,2,3,0,0,0,4.5,NaN
376,Golden Fork Restaurant,24,6,8,6,0,3,3.5,NaN
377,Subway,19,3,7,7,1,0,3.5,NaN
378,Maruti Vilas Veg Restaurant,9,2,5,2,0,0,4,NaN
379,Navarathna Restaurant,6,3,2,1,0,0,4.5,NaN
380,Biriyani Hut,26,5,10,6,4,0,3.5,NaN
381,Pathummas Kitchen,10,6,3,0,0,1,4.5,NaN
382,Kobe Sizzlers,15,2,7,3,1,0,3.5,NaN
383,Ebony & Ivory Asian Kitchen & Cafe,4,3,1,0,0,0,5,₹600 - ₹800
384,Sukh Sagar Restaurant,10,2,5,3,0,0,4,NaN
385,Pearl Malabar,6,2,4,0,0,0,4.5,NaN
386,Cafe17,3,3,0,0,0,0,5,₹500 - ₹700
387,Hotel Aryaas,14,4,6,2,0,2,3.5,"₹6,500 - ₹24,374"
388,Tandoorwala,7,2,5,0,0,0,4.5,₹80 - ₹200
389,Arena,5,3,2,0,0,0,4.5,₹180 - ₹400
390,Cilantro,9,3,4,2,0,0,4,NaN
391,East India Street Cafe,11,3,5,1,1,1,3.5,NaN
392,Anna Cafe,18,2,9,5,1,1,3.5,NaN
393,Hunters,10,3,4,1,1,0,4,NaN
394,Poems By The Art Cafe,3,2,1,0,0,0,4.5,₹250 - ₹400
395,Tasty Land Bakers,5,2,3,0,0,0,4.5,NaN
396,Frys,4,2,2,0,0,0,4.5,NaN
397,Bell Restaurant,7,4,3,0,0,0,4.5,NaN
398,sri Annapurna sweets & restaurant,21,9,7,3,0,2,4,NaN
399,Pizza Xpress,6,5,0,1,0,0,4.5,NaN
400,Hotel Abdulkani (Dosakada),6,2,4,0,0,0,4.5,NaN
401,Fatayer Restaurant,6,5,0,0,0,1,4.5,"₹812 - ₹32,499"
402,Hotel Saravana Bhavan,12,5,3,2,1,1,4,NaN
403,Sharma Restaurant,16,5,4,5,1,1,3.5,NaN
404,The Chocolate Room,8,3,3,2,0,0,4,"₹100 - ₹1,200"
405,KFC,6,2,4,0,0,0,4.5,NaN
406,New Malaya Chinese Restaurant,23,6,8,5,2,2,3.5,NaN
407,Chicking Restaurant,12,5,4,2,0,0,4,NaN
408,"Chicking Amritha Towers, MG Road",17,5,5,3,0,2,4,NaN
409,New Trivandrum Chicken Corner,17,3,7,4,2,1,3.5,NaN
410,Chiyang,12,1,8,2,1,0,4,NaN
411,Lila's Kitchen,5,4,0,0,0,1,4,"₹600 - ₹2,000"
412,Indian Coffe House,9,1,7,1,0,0,4,NaN
413,Afghan,9,3,4,1,0,0,4,"₹250 - ₹1,500"
414,City View,7,2,3,2,0,0,4,"₹35 - ₹3,500"
415,Red BAR Restaurant,10,5,2,2,0,1,4,"₹150 - ₹2,000"
416,Rassam,14,2,9,2,0,1,4,NaN
417,Tea O Clock Restaurant,7,0,6,0,0,0,4,NaN
418,Burger Factory,8,3,3,2,0,0,4,₹85 - ₹280
419,Hotel lakshmi Nivas,7,2,3,2,0,0,4,NaN
420,Restaurant Courtyard,3,2,0,0,0,0,5,NaN
421,Holy Smoke BBQ & Grill,5,2,1,1,0,0,4.5,₹150 - ₹450
422,Shapu Food,6,2,3,1,0,0,4,NaN
423,Pai Dosa,10,1,6,2,0,1,3.5,NaN
424,Zaina Bakes & Restaurant,8,3,4,1,0,0,4.5,NaN
425,The Swad Pure Veg Restaurant,7,3,3,0,1,0,4,NaN
426,Nadiya Bake & More,6,2,4,0,0,0,4.5,₹5 - ₹250
427,New Jaya Restaurant,6,3,2,1,0,0,4.5,NaN
428,oajeen resturent,8,5,3,0,0,0,4.5,NaN
429,Bombay Bistro,6,2,4,0,0,0,4.5,NaN
430,Food Garden Family Restaurant,6,2,3,0,1,0,4,NaN
431,Floret Food Court,9,2,5,2,0,0,4,NaN
432,Chemmeen- The Village Restaurant,7,1,6,0,0,0,4,₹50 - ₹150
433,Cafe Mattancherry,4,3,1,0,0,0,5,NaN
434,Inchino,11,4,5,1,1,0,4,NaN
435,Biriyani Hut,15,3,8,0,4,0,3.5,NaN
436,Domino's Pizza,11,3,2,3,2,0,3.5,NaN
437,Swad Kitchen,3,2,1,0,0,0,4.5,"₹40 - ₹1,000"
438,Kothambari by Thakkaaram,8,3,4,0,0,1,4,NaN
439,Khyber Restaurant,9,2,4,3,0,0,4,NaN
440,Thommoo's Chinese Restaurant,18,1,12,4,0,1,3.5,NaN
441,Wah Turk Gyros & Grills,2,2,0,0,0,0,5,NaN
442,Ayodhya Bhavan Pure Vegetarian,7,1,5,1,0,0,4,NaN
443,Bread World,5,2,3,0,0,0,4.5,NaN
444,Tree Loft,5,3,2,0,0,0,4.5,NaN
445,Bread World,14,3,6,2,1,1,3.5,NaN
446,Emarath Restaurant,3,2,1,0,0,0,4.5,NaN
447,Spice Villa,4,3,0,1,0,0,4.5,₹300 - ₹500
448,The LMN,11,2,4,4,0,1,3.5,₹300 - ₹900
449,"Nasrani Kitchen,Traditional Restaurant",7,2,3,2,0,0,4,NaN
450,Kurians Taste Buds,10,2,6,1,1,0,4,NaN
451,Kaasa Basi,5,2,2,1,0,0,4,NaN
452,Blue Water Cherai,10,0,7,3,0,0,3.5,NaN
453,Jhivras Foods And Beverages Private Limited,4,3,1,0,0,0,5,₹100 - ₹150
454,Hotel Malabar,16,2,8,5,0,1,3.5,NaN
455,Fahrenheit 375,3,2,1,0,0,0,4.5,NaN
456,Dewland Restaurant,3,3,0,0,0,0,5,₹200 - ₹500
457,Oberoi Bar & Restaurant,10,2,6,0,1,0,4,NaN
458,Monsoon Days,6,0,5,1,0,0,4,₹100 - ₹200
459,Naushad the Big Chef,77,16,20,17,13,11,3,NaN
460,Food Marley,14,7,3,2,0,2,4,₹100 - ₹600
461,Alibaba & 41 Dishes,8,3,2,2,0,1,4,NaN
462,Hotel Fort Queen,19,5,7,2,2,3,3.5,NaN
463,Club 11 Hundred,9,2,5,1,1,0,4,NaN
464,Hotel Annapoorna,4,2,2,0,0,0,4.5,NaN
465,Arabian Food Court,7,1,5,0,0,0,4,NaN
466,Rahath Restaurant,6,2,3,0,0,0,4,NaN
467,Mamma Mia Food Court,54,6,17,22,4,5,3.5,NaN
468,Meen Ruchi Restaurant,6,1,5,0,0,0,4,NaN
469,Bread World,7,0,6,1,0,0,4,NaN
470,Baywatch Beach Homes,15,5,6,2,0,2,4,NaN
471,The Cochin Trader Bar,8,2,3,3,0,0,4,NaN
472,Thahoor Kitchen,6,2,3,0,0,0,4.5,NaN
473,Hotel Abirami Restaurant,14,2,3,9,0,0,3.5,NaN
474,Hotel Ram Nivas,6,1,3,1,0,0,4,NaN
475,Hotel Aryaas Vegetarian,4,1,3,0,0,0,4.5,NaN
476,Old Port Restaurant,15,3,5,2,1,0,3.5,NaN
477,Amor Kitchen,3,1,0,1,0,0,4.5,NaN
478,The Spice Route,10,3,4,1,1,0,4,NaN
479,Dhe Chef Multi-cuisine Restaurant,11,3,5,1,1,1,3.5,NaN
480,Kismath Restaurant,4,3,1,0,0,0,5,NaN
481,Courtyard by Marriott,6,3,1,2,0,0,4,"₹1,500 - ₹7,000"
482,New Ananda Bhavan,12,3,6,2,1,0,4,NaN
483,The Paramount Restaurant,6,1,4,0,0,0,4.5,NaN
484,Om Sree Saravana Bhavan,7,0,5,2,0,0,3.5,₹15 - ₹130
485,Molano Ice Ream,10,3,5,1,0,1,4,NaN
486,Hotel Brothers Restaurant,4,2,2,0,0,0,4.5,NaN
487,Deli,2,2,0,0,0,0,5,"₹14 - ₹1,000"
488,Restarant Chef Pillai,4,3,0,0,1,0,4.5,NaN
489,Bread World,10,0,7,3,0,0,3.5,NaN
490,Max Fun,11,1,8,0,0,2,3.5,NaN
491,Ojin,5,3,1,1,0,0,4.5,NaN
492,Maria Restaurant,4,1,3,0,0,0,4.5,NaN
493,Food Stop Diner,3,2,1,0,0,0,4.5,NaN
494,The Food Mill Restaurant,3,2,1,0,0,0,4.5,NaN
495,Cana Maria,4,2,0,0,0,0,5,NaN
496,Hotel Pathempuram,2,2,0,0,0,0,5,NaN
497,Royal Food Court,11,3,5,2,0,1,4,NaN
498,Khana Peena,2,2,0,0,0,0,5,NaN
499,Aswin Restaurant,11,3,6,0,1,1,4,NaN
500,Tarmac- Riders' cafe & restaurant,2,2,0,0,0,0,5,NaN
501,Hotel Le Bake'S,4,2,2,0,0,0,4.5,₹100 - ₹500
502,Hot Chicken,5,4,1,0,0,0,5,NaN
503,Hotel Kappithan & Restaurant,4,2,2,0,0,0,4.5,NaN
504,Hotel California,5,2,2,1,0,0,4,NaN
505,Mughal Restaurant,9,1,3,4,1,0,3.5,NaN
506,Currymean Restaurant,6,2,3,1,0,0,4,"₹894 - ₹16,250"
507,Food Marley,5,2,3,0,0,0,4.5,NaN
508,Hotel Sona,4,1,3,0,0,0,4.5,NaN
509,Cafe La Paillote,6,5,0,0,0,1,4.5,NaN
510,Cafe Route 66,8,2,4,1,1,0,4,₹200 - ₹600
511,Calicut Notebook Restaurant,7,1,5,0,0,1,3.5,NaN
512,Pure Vegetarian Hotel,5,1,4,0,0,0,4,NaN
513,Hotel Abirami Restaurant,5,1,4,0,0,0,4,NaN
514,Nalukettu Restaurant,6,3,1,2,0,0,4,NaN
515,Yummy's Chick,5,1,4,0,0,0,4,NaN
516,Cafe Del Mar,32,9,8,6,1,5,3.5,NaN
517,Kitchenlady Family Restaurant Angamaly,4,1,3,0,0,0,4.5,₹50 - ₹250
518,Green Pepper,2,1,1,0,0,0,4.5,NaN
519,Travel Lounge Kochi,6,2,1,2,0,0,4,₹100 - ₹500
520,Punjabi Dhaba,4,2,2,0,0,0,4.5,NaN
521,Tea Bungalow,9,2,5,1,0,1,4,NaN
522,Seapark,6,3,1,1,1,0,4,NaN
523,Hotel Aryaas Vegetarian,3,2,1,0,0,0,4.5,NaN
524,Foodie Chinese Restaurant,3,2,1,0,0,0,4.5,"₹100 - ₹1,000"
525,Domino's Pizza,7,0,5,1,0,0,4,NaN
526,O.v.a Restaurant,3,2,1,0,0,0,4.5,₹80 - ₹200
527,Bbq Square,8,1,5,2,0,0,4,NaN
528,Swargam Backwaters,2,1,1,0,0,0,4.5,NaN
529,Saravana Bhavan,12,1,7,2,0,2,3.5,NaN
530,Shawarma Daddy,2,2,0,0,0,0,5,NaN
531,Mizaj,4,1,3,0,0,0,4.5,NaN
532,Mappila Kada,13,4,6,0,1,2,3.5,NaN
533,Holiday Hotel,2,1,0,0,0,0,5,"₹100 - ₹1,000"
534,The Machli Restaurant,2,2,0,0,0,0,5,NaN
535,Donut House,4,2,2,0,0,0,4.5,₹60 - ₹140
536,Balos Restaurant,3,2,1,0,0,0,4.5,NaN
537,NBC Restaurant,14,4,3,5,1,1,3.5,NaN
538,Pizza Hut,19,2,10,2,2,1,3.5,NaN
539,Baby chettan's chaya kada,4,2,2,0,0,0,4.5,NaN
540,Chennai Ananda Bhavan,15,2,5,6,1,1,3.5,NaN
541,Ten Eleven The Taste Makers,4,2,1,1,0,0,4.5,NaN
542,Food Factor,3,2,1,0,0,0,4.5,NaN
543,Kummattikka Juice,4,1,3,0,0,0,4.5,NaN
544,Cochin Biriyani Kada,7,1,4,2,0,0,4,NaN
545,Fishy's Fish & Chips,7,0,5,2,0,0,3.5,NaN
546,Saravana Bhavan,2,2,0,0,0,0,5,NaN
547,Chandrus Restaurant,7,0,5,2,0,0,3.5,NaN
548,Goli Vada Pav Mattancherry,6,1,4,1,0,0,4,NaN
549,Adukkala by Ithappiris,10,2,5,1,1,1,3.5,NaN
550,Samovar,4,1,3,0,0,0,4.5,NaN
551,Vijayalakhshmi Hotel Restaurant,6,2,3,0,1,0,4,NaN
552,Bhatt's Tiffinbox,2,2,0,0,0,0,5,NaN
553,Oru PuzhaMeen Restaurant,2,2,0,0,0,0,5,NaN
554,Buzz Deli Cafe - Cherai Beach,2,2,0,0,0,0,5,₹100 - ₹300
555,Minha Restaurant,6,3,2,0,0,1,4,NaN
556,Hotel Sea Gate Restaurant,4,2,2,0,0,0,4.5,NaN
557,Green Tree Restaurant,2,1,0,0,0,0,5,NaN
558,Ammaveedu Pure Vegetarian Restaurant,5,1,4,0,0,0,4,NaN
559,Kailash Parbat,11,1,7,1,0,2,3.5,NaN
560,Hoggers Gourmet,2,2,0,0,0,0,5,NaN
561,Hotel Manakkil Restaurant,6,2,2,2,0,0,4,NaN
562,Chiyang Restaurant,22,3,9,4,2,3,3.5,NaN
563,Metropolitan Restaurant,5,0,5,0,0,0,4,NaN
564,Talented Kadai,2,2,0,0,0,0,5,₹50 - ₹150
565,Zaki,6,1,3,2,0,0,4,NaN
566,Hotel Paradise Restaurant,11,2,6,1,1,1,3.5,NaN
567,The Kitchen,3,1,2,0,0,0,4.5,NaN
568,Royal Food Park,8,2,3,2,1,0,4,NaN
569,Chak De Restaurant,16,2,6,5,0,2,3.5,NaN
570,Caza Maria,8,2,2,1,0,0,4,NaN
571,Muruga Hotel Restaurant,3,1,2,0,0,0,4.5,NaN
572,Mi Casa Bbq Steak Burgers,4,1,2,1,0,0,4,"₹150 - ₹2,000"
573,The Second Wife,3,2,1,0,0,0,4.5,₹15 - ₹250
574,Cafe Terrazza,11,4,1,3,0,1,3.5,NaN
575,Festa Bakes and Grills,12,1,9,0,1,1,3.5,NaN
576,Bake Factory & Thaliya Restaurant,4,1,2,1,0,0,4,₹70 - ₹350
577,Mare Blu,3,2,0,1,0,0,4.5,"₹12,187 - ₹48,749"
578,China Town,4,1,2,1,0,0,4,NaN
579,ATLANTA Cafe And Restaurant,6,2,3,0,0,1,4,NaN
580,Mamma Family Restaurant & Ice Cream,4,2,1,1,0,0,4.5,NaN
581,Ceecee Bakery & Coffee Shop,6,1,2,3,0,0,3.5,NaN
582,Hotel Paradise,11,1,7,1,1,1,3.5,NaN
583,Kuttimulla,6,1,4,1,0,0,4,NaN
584,Le Colonial's Lord Mountbatten,3,2,1,0,0,0,4.5,NaN
585,Mummy's Udupi Hotel,3,0,3,0,0,0,4,NaN
586,City Kitchen,2,2,0,0,0,0,5,NaN
587,Pizza Pie,7,2,3,1,0,1,3.5,NaN
588,Chai Kada,8,3,2,1,0,1,4,NaN
589,Pristine,3,1,2,0,0,0,4.5,"₹10 - ₹5,000"
590,Esha Muziris,3,1,2,0,0,0,4.5,₹100 - ₹300
591,Chimes,3,1,2,0,0,0,4.5,NaN
592,Food Garden Restaurant,2,1,1,0,0,0,4.5,NaN
593,Rochas Cafe & Bistro,NaN,2,0,2,1,0,3.5,NaN
594,Indian Coffee House,2,1,1,0,0,0,4.5,NaN
595,Zesti Arabia,2,1,1,0,0,0,4.5,₹70 - ₹600
596,Cafe Zero Degree,4,2,0,2,0,0,4,NaN
597,Vasco Cafe,3,2,0,1,0,0,4.5,NaN
598,Ifthar,3,0,3,0,0,0,4,NaN
599,Imperial Family Restaurant,5,0,4,1,0,0,4,NaN
600,Abhinandan Veg Restaurant,7,1,3,2,1,0,3.5,₹100 - ₹500
601,Primate Raw Food,3,1,2,0,0,0,4.5,NaN
602,Vattapparambu,1,1,0,0,0,0,5,NaN
603,Mughal Restaurant,2,1,1,0,0,0,4.5,NaN
604,Selfie tea,1,1,0,0,0,0,5,₹100 - ₹400
605,Al Saj Restaurant,3,2,0,1,0,0,4.5,NaN
606,Sehion Restaurant,5,1,2,2,0,0,4,NaN
607,Rain Tree,12,3,2,3,1,2,3.5,NaN
608,Courtyard Multicuisine Restaurant,6,1,3,1,1,0,3.5,NaN
609,Arabian Nights,10,1,5,2,1,1,3.5,NaN
610,Bayleaf Indian Restaurant,4,2,1,1,0,0,4.5,₹60 - ₹350
611,Mc Fun Bakers And Restaurant,5,1,2,2,0,0,4,NaN
612,Ramees,7,3,1,1,1,1,3.5,NaN
613,Creamland Restaurant,3,1,2,0,0,0,4.5,NaN
614,Lagoon Restaurant,5,2,2,0,0,1,4,NaN
615,Shiva's Dosa,2,1,1,0,0,0,4.5,NaN
616,Wow Momos,18,2,7,5,2,2,3.5,NaN
617,Chicking Restaurant,10,0,4,5,0,0,3.5,NaN
618,The Pavilion,1,1,0,0,0,0,5,NaN
619,Smoki Ice Bubble Tea Shop,2,1,1,0,0,0,4.5,NaN
620,Downtown Cafe,6,1,1,4,0,0,3.5,NaN
621,Thampi's Chayakkada,4,1,3,0,0,0,4.5,NaN
622,Bimbis Fast Food and Sweets,38,1,17,13,2,5,3,NaN
623,Rahmania,1,1,0,0,0,0,5,NaN
624,Kadamakudy Kallu Shop,4,3,0,0,0,1,4,NaN
625,Pepper,1,1,0,0,0,0,5,NaN
626,Rao's Pure Vegetarian Restaurant,2,1,1,0,0,0,4.5,NaN
627,Hotel Mount Park Inn,2,1,1,0,0,0,4.5,NaN
628,Al-gusto Resto Cafe,1,1,0,0,0,0,5,NaN
629,District 7 Encore,1,1,0,0,0,0,5,NaN
630,Momoz Corner,4,1,2,1,0,0,4,NaN
631,Chai Chillum Chappathi,5,0,4,1,0,0,4,NaN
632,Harvest - Hotel Broad Bean,6,1,3,1,1,0,3.5,NaN
633,Wah Turk Gyros And Grills,1,1,0,0,0,0,5,NaN
634,Nature Health Food Restaurant,1,1,0,0,0,0,5,NaN
635,Ming's Dumpling House,3,1,1,0,0,0,4,NaN
636,Hotel Ragam Restaurant,5,1,2,2,0,0,4,NaN
637,Cafe Delaviz,1,1,0,0,0,0,5,NaN
638,Shifu's Kitchen,2,1,1,0,0,0,4.5,₹60 - ₹120
639,Bombay Kulfi,6,0,4,1,1,0,3.5,NaN
640,Mirchi Dhaba,10,2,4,2,0,2,3.5,NaN
641,Lakeway Resto Cafe,1,1,0,0,0,0,5,₹10 - ₹350
642,Subway,2,2,0,0,0,0,5,NaN
643,Hotel Radha Nivas,4,0,4,0,0,0,4,NaN
644,K.R. Bakes,8,2,3,2,0,1,3.5,NaN
645,Kadayil Oru Thattukada,7,0,5,1,1,0,3.5,NaN
646,Volga Restaurant,6,1,1,4,0,0,3.5,NaN
647,Thattu Ruchi,2,1,1,0,0,0,4.5,"₹20 - ₹1,000"
648,Green Chilly,5,1,2,2,0,0,4,NaN
649,Hot Wok,15,2,5,6,1,1,3.5,NaN
650,Wow Momo,3,0,3,0,0,0,4,NaN
651,Jap Pizzeria,1,1,0,0,0,0,5,₹201 - ₹500
652,Curry Pot Restaurant,5,1,3,0,1,0,4,NaN
653,Pepper Boat,1,1,0,0,0,0,5,NaN
654,Mellow Manna,10,0,6,2,1,1,3.5,NaN
655,Four Aces Restaurant,2,1,1,0,0,0,4.5,NaN
656,Blue Sea Family Restaurant,2,1,1,0,0,0,4.5,NaN
657,Al Har Restaurant,3,1,1,1,0,0,4,NaN
658,12 to 12 BBQ,7,1,4,1,0,1,3.5,NaN
659,Biriyani Hut,5,1,2,1,1,0,3.5,NaN
660,Mathai Makkal,3,0,3,0,0,0,4,₹150 - ₹250
661,Italian Gelato,3,0,3,0,0,0,4,NaN
662,Hotel Seagate Restaurant,3,0,3,0,0,0,4,NaN
663,Tea Junction,2,1,1,0,0,0,4.5,NaN
664,The Hideout Cafe And Bakers,2,1,1,0,0,0,4.5,₹30 - ₹75
665,Bread World Thevara,2,0,2,0,0,0,4,"₹100 - ₹1,000"
666,Udipi Anantha Bhavan,4,0,3,1,0,0,4,NaN
667,Calimiro Restaurant,2,1,1,0,0,0,4.5,NaN
668,MeltyWay,1,1,0,0,0,0,5,₹65 - ₹300
669,Mayyazhi Restaurant,3,1,2,0,0,0,4.5,NaN
670,Ente Bhoomi,5,2,2,0,0,1,4,NaN
671,Food Village,8,0,6,1,0,1,3.5,NaN
672,Chinese Garden,13,1,6,3,2,0,3.5,NaN
673,Chutney's,2,1,1,0,0,0,4.5,NaN
674,Swirl,6,3,1,1,0,1,4,NaN
675,Chicken Days,4,0,3,1,0,0,4,NaN
676,Sri Mu Saravana Bhavan,28,2,14,5,0,5,3.5,NaN
677,Springr Cafe,2,1,1,0,0,0,4.5,NaN
678,Oppol,2,1,1,0,0,0,4.5,NaN
679,Fort Cafe and Restaurant,3,0,3,0,0,0,4,NaN
680,Vella Kanthari Restaurant,8,4,0,2,0,2,3.5,NaN
681,K R Bakers,15,0,7,6,0,2,3,NaN
682,Red Sauce,2,1,1,0,0,0,4.5,NaN
683,Kumbalangi Grill House,1,1,0,0,0,0,5,₹8 - ₹450
684,Treasure Trove,2,1,1,0,0,0,4.5,NaN
685,Appu Aur Pappu,6,0,4,1,0,1,3.5,NaN
686,Anjappar Restaurant,2,0,2,0,0,0,4,NaN
687,Westleys Restocafe - Mamangalam,3,2,0,0,0,1,3.5,NaN
688,K R Bakes,9,1,5,2,0,1,3.5,NaN
689,Kabirs Just Biryani,3,1,2,0,0,0,4.5,NaN
690,Machli Restaurant,1,1,0,0,0,0,5,NaN
691,Ganga Restaurant,1,1,0,0,0,0,5,NaN
692,Doner Kebab,9,1,4,3,0,1,3.5,NaN
693,Quick Snacks,4,0,3,1,0,0,4,NaN
694,Hi Dosa Restaurant,2,1,1,0,0,0,4.5,NaN
695,Brindhavan Restaurant,1,1,0,0,0,0,5,NaN
696,Naga's,6,0,3,3,0,0,3.5,NaN
697,Breeze Hotel,6,1,1,4,0,0,3.5,NaN
698,Indian Coffee House,3,0,2,1,0,0,3.5,NaN
699,Hotel Arias Pure Veg,1,1,0,0,0,0,5,NaN
700,Hibas Restaurant,1,1,0,0,0,0,5,NaN
701,Hotel Chaitram Restaurant,1,1,0,0,0,0,5,NaN
702,Insaf Foods India,1,1,0,0,0,0,5,NaN
703,Ifthar Hotel,5,0,3,2,0,0,3.5,NaN
704,"Mary,s Foods",1,1,0,0,0,0,5,"₹100 - ₹1,000"
705,7 Spices Multi Cusine Restaurant,1,1,0,0,0,0,5,"₹100 - ₹1,000"
706,Ajooba Restaurant,1,1,0,0,0,0,5,NaN
707,The Temple of Bacchus,2,0,2,0,0,0,4,NaN
708,Chinese Garden,15,0,5,8,2,0,3,NaN
709,Bloomsbury,1,1,0,0,0,0,5,NaN
710,The Roti,1,1,0,0,0,0,5,"₹13,812 - ₹32,499"
711,Indian Coffeee House,2,0,2,0,0,0,4,NaN
712,Sea Park Restaurant,5,1,1,3,0,0,3.5,NaN
713,Bamboo Groves Restaurant,2,1,1,0,0,0,4.5,NaN
714,Cilantro,2,0,2,0,0,0,4,NaN
715,Porta Rossa,1,1,0,0,0,0,5,NaN
716,Erivum Puliyum,7,2,1,3,0,1,3.5,NaN
717,Twenty 20 Food Mall,1,1,0,0,0,0,5,NaN
718,Monsoon Cafe,3,1,2,0,0,0,4.5,NaN
719,Match Point,3,0,3,0,0,0,4,NaN
720,Oru Pazhampori Kadha - OPK CAFE,1,1,0,0,0,0,5,NaN
721,Muziris Pattanam,2,1,1,0,0,0,4.5,NaN
722,Cream Craft,2,0,2,0,0,0,4,₹200 - ₹400
723,Hotel Gusto Malabar,2,2,0,0,0,0,5,NaN
724,Hare Krishna Cafe and Bakery,1,1,0,0,0,0,5,₹20 - ₹90
725,Blue Bell,11,3,4,0,1,2,3.5,"₹406 - ₹1,625"
726,Coqdor,3,1,1,1,0,0,4,NaN
727,Honey Cane Juicery,2,1,0,1,0,0,4,NaN
728,Yummy Kitchens,3,1,1,1,0,0,4,₹150 - ₹300
729,The French Press Cafe,3,2,0,1,0,0,4.5,NaN
730,Flavours Lounge Restaurant,3,1,2,0,0,0,4.5,NaN
731,Pai's Cool Bar,1,1,0,0,0,0,5,NaN
732,Puththu Hotel,1,1,0,0,0,0,5,NaN
733,Mahe Restaurant & Party Hall,1,1,0,0,0,0,5,₹10 - ₹200
734,Jack Tree,1,1,0,0,0,0,5,₹60 - ₹100
735,Ifthar,6,4,1,0,0,1,4,NaN
736,Zaatar Arabic Restaurant,4,1,2,0,0,1,3.5,"₹40 - ₹5,000"
737,Mappas Restaurant,1,1,0,0,0,0,5,₹300 - ₹500
738,Sasya Pure Vegetarian Restaurant,2,0,2,0,0,0,4,₹8 - ₹200
739,Cafe Lat Long,1,1,0,0,0,0,5,NaN
740,Cochin Tiffins,2,0,2,0,0,0,4,NaN
741,Hotel Harbour View Residency Restaurant,20,4,4,3,6,2,3,NaN
742,Thali Restaurant,3,0,3,0,0,0,4,NaN
743,Hotel Anandhaas,7,1,5,0,0,1,3.5,NaN
744,Hotel Paris Restaurant,3,0,3,0,0,0,4,NaN
745,Mita Pani,3,0,2,1,0,0,3.5,₹20 - ₹100
746,Balaji Restaurant,1,1,0,0,0,0,5,NaN
747,Oottupura Restaurant,2,0,2,0,0,0,4,NaN
748,Hotel Jas Regency Multi Cusine AC Restaurant,3,0,2,1,0,0,3.5,NaN
749,Kafe KopiLuwak,1,1,0,0,0,0,5,NaN
750,Kalakriti,1,1,0,0,0,0,5,NaN
751,Food Circle,2,0,2,0,0,0,4,NaN
752,Kausthubham Restaurant,6,1,1,4,0,0,3.5,NaN
753,Chennai Thattu Dosai,1,1,0,0,0,0,5,NaN
